Strong Model,Strong Model Base Performance,Strong Model Base Cost,Strong Model Base Efficiency Score,Weak Model,Weak Model Base Performance,Weak Model Base Cost,Weak Model Base Efficiency Score,Method,Performance,Cost,Efficiency Score,Rank
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Repo Level QA Pairs,0.14,5.036,0.027799841143764898,2.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Weak LM First,0.1667,7.847,0.021243787434688414,3.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Few Shot Examples (1 Shot Random),0.1233,6.14,0.020081433224755703,4.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Few Shot Examples (1 Shot Similarity),0.12,6.427,0.018671230745293293,5.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Repo Summary,0.1467,9.609,0.015266937246331564,6.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Few Shot Examples (5 Shot Similarity),0.1233,8.713,0.014151268219901298,7.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Strong LM Single Attempt,0.2633,21.28,0.012373120300751878,8.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Few Shot Examples (5 Shot Random),0.1033,8.641,0.011954634880222198,9.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Strong LM First,0.2967,25.099,0.011821188095143233,10.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Plan,0.2233,25.158,0.008875904284919309,11.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Weak Router,0.24,27.507,0.00872505180499509,12.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Instance Level QA Pairs,0.19,25.599,0.0074221649283175125,13.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Prompt Reduction,0.23,40.568,0.005669493196608165,14.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Best of N,0.2333,48.249,0.004835333374784969,15.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Strong Router,0.1633,39.201,0.004165710058416877,16.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Self-Consistency - Clustering,0.1567,48.249,0.0032477357043669297,17.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Self-Consistency - Majority Vote,0.15,48.249,0.0031088727227507303,18.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Self-Consistency - Universal,0.15,51.069,0.002937202608235916,19.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Repo Structure,0.17,5.302,0.03206337231233497,1.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Few Shot Examples (1 Shot Random),0.2067,7.843,0.02635471120744613,2.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Few Shot Examples (1 Shot Similarity),0.2033,7.933,0.025627127190218077,3.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Repo Level QA Pairs,0.1833,7.785,0.023545279383429672,4.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Weak LM First,0.2067,8.9637,0.023059674018541452,5.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Few Shot Examples (5 Shot Similarity),0.2,9.583,0.020870291140561412,6.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Few Shot Examples (5 Shot Random),0.18,10.426,0.017264530980241704,7.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Repo Summary,0.1833,12.73,0.014399057344854672,8.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Strong LM Single Attempt,0.2633,21.28,0.012373120300751878,9.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Strong LM First,0.33,27.737,0.011897465479323648,10.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Plan,0.2533,28.591,0.008859431289566648,11.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Weak Router,0.29,32.772,0.008849017453924081,12.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Instance Level QA Pairs,0.2267,27.7,0.008184115523465705,13.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Best of N,0.2567,43.011,0.005968240682616074,14.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Strong Router,0.23,40.763,0.005642371758702746,15.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Self-Consistency - Majority Vote,0.2133,43.011,0.004959196484620213,16.5
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Self-Consistency - Clustering,0.2133,43.011,0.004959196484620213,16.5
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Self-Consistency - Universal,0.2133,48.634,0.004385820619319817,18.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-32b,0.2033,7.021,0.02895598917533115,Prompt Reduction,0.16,54.735,0.002923175299168722,19.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Weak Router,0.0733,5.432,0.013494108983799706,1.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Strong LM Single Attempt,0.2633,21.28,0.012373120300751878,2.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Weak LM First,0.1933,16.147,0.011971264011890755,3.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Strong LM First,0.2633,22.261,0.011827860383630564,4.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Repo Structure,0.05,4.388,0.0113947128532361,5.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Few Shot Examples (1 Shot Random),0.0433,4.281,0.010114459238495679,6.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Repo Level QA Pairs,0.0433,4.676,0.009260051325919588,7.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Few Shot Examples (1 Shot Similarity),0.0367,4.282,0.008570761326482953,8.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Few Shot Examples (5 Shot Random),0.0433,6.501,0.006660513767112752,9.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Few Shot Examples (5 Shot Similarity),0.0433,6.665,0.006496624156039009,10.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Repo Summary,0.0567,9.139,0.006204179888390415,11.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Prompt Reduction,0.1867,43.59,0.004283092452397339,12.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Plan,0.0833,24.092,0.003457579279428856,13.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Instance Level QA Pairs,0.0767,25.203,0.0030432884974011033,14.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Strong Router,0.1033,41.081,0.0025145444366008614,15.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Best of N,0.1033,46.09,0.002241267086135821,16.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Self-Consistency - Majority Vote,0.0733,46.09,0.0015903666738988935,17.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Self-Consistency - Universal,0.0733,47.095,0.0015564284955940123,18.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Self-Consistency - Clustering,0.07,46.09,0.0015187676285528314,19.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Few Shot Examples (1 Shot Similarity),0.1567,4.796,0.03267306088407006,1.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Repo Structure,0.1367,4.288,0.031879664179104476,2.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Repo Level QA Pairs,0.1467,4.699,0.031219408384762715,3.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Repo Summary,0.1433,4.854,0.029522043675319326,4.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Few Shot Examples (1 Shot Random),0.1367,5.06,0.02701581027667984,5.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Weak LM First,0.1533,6.061,0.025292855964362315,6.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Few Shot Examples (5 Shot Random),0.14,5.793,0.02416709822199206,7.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Few Shot Examples (5 Shot Similarity),0.1367,6.52,0.020966257668711658,8.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Strong LM First,0.4167,25.341,0.016443707825263408,9.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Strong LM Single Attempt,0.38,23.616,0.01609078590785908,10.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Weak Router,0.24,17.903,0.013405574484723232,11.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Instance Level QA Pairs,0.2567,25.598,0.0100281271974373,12.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Plan,0.2933,29.679,0.009882408436941947,13.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Best of N,0.2167,35.307,0.006137593111847509,14.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Strong Router,0.2133,36.342,0.0058692421991084695,15.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Prompt Reduction,0.2733,56.021,0.004878527694971528,16.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Self-Consistency - Clustering,0.15,35.307,0.00424844931599966,17.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Self-Consistency - Universal,0.1633,39.688,0.004114593831888732,18.0
o4-mini,0.4533,33.328,0.013601176188190109,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Self-Consistency - Majority Vote,0.1433,35.307,0.004058685246551675,19.0
